DataSet,Clust_ID,Matching_Clust_ID,Num_Seqs,Num_Seq_wMatch,Madrid,Antwerp,London,BIRMINGHAM,GALICIA,Larnaca,Rome,Sicily,Sampling city_NA,no,yes,Drug naive_NA,SPAIN,BELGIUM,GERMANY,FRANCE,UNITED KINGDOM,GREECE,ITALY,CZECH REPUBLIC,DENMARK,CYPRUS,Country_NA,Male Sex with Male,Heterosexual,IV Drug User,Nosocomial,Risk factor_NA
2,66,"68",2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,68,"66",3,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
2,68,"46",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
1,46,"68",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
2,121,"31",5,5,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,3,0,2,0,0,0,0,5,0,0,0,0
1,31,"121",5,5,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,3,0,2,0,0,0,0,5,0,0,0,0
2,124,"32",25,6,0,0,0,0,0,3,0,0,22,0,25,0,0,0,0,0,22,0,0,0,0,3,0,20,5,0,0,0
1,32,"124",6,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0
2,70,"53",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,53,"70",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,75,"22",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,22,"75",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,76,"44",5,3,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
1,44,"76",3,3,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
2,138,"26",5,3,0,0,0,0,0,1,0,0,4,3,2,0,0,0,0,0,4,0,0,0,0,1,0,3,1,1,0,0
1,26,"138",3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
2,56,"51",2,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
1,51,"56",2,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
2,45,"66",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,66,"45",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,44,"28",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,28,"44",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,51,"48",3,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
1,48,"51",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,142,"15",4,2,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
1,15,"142",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,101,"42",5,3,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0
1,42,"101",3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0
2,95,"43",5,3,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0
1,43,"95",5,3,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0
2,94,"71",4,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
1,71,"94",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,195,"40",17,6,0,0,0,0,0,0,0,0,17,5,12,0,0,0,0,0,17,0,0,0,0,0,0,16,1,0,0,0
1,40,"195",6,6,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,6,0,0,0,0,0,0,5,1,0,0,0
2,196,"11",9,3,0,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0
1,11,"196",3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
2,191,"1",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,1,"191",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
